,,,Installation Bottom,,,,,,,Installation Top,,,,,,
Layer,Headboard,Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan
G,5,211,T,94,15,105,2,4,7,B,67,50,106,1,13,0
G,5,212,T,91,14,106,1,4,6,B,70,51,105,2,13,1
G,5,213,T,90,13,106,2,4,6,B,71,52,105,1,13,1
G,5,214,T,87,12,105,1,3,5,B,74,53,106,2,14,2
G,5,215,T,86,11,105,2,3,5,B,75,54,106,1,14,2
G,5,216,T,83,10,106,1,3,4,B,78,55,105,2,14,3
G,5,217,T,82,9,106,2,3,4,B,79,56,105,1,14,3
G,5,218,B,79,56,105,1,14,3,T,82,9,106,2,3,4
G,5,219,B,78,55,105,2,14,3,T,83,10,106,1,3,4
G,5,220,B,75,54,106,1,14,2,T,86,11,105,2,3,5
G,5,221,B,74,53,106,2,14,2,T,87,12,105,1,3,5
G,5,222,B,71,52,105,1,13,1,T,90,13,106,2,4,6
G,5,223,B,70,51,105,2,13,1,T,91,14,106,1,4,6
G,5,224,B,67,50,106,1,13,0,T,94,15,105,2,4,7
G,5,225,B,66,49,106,2,13,0,T,95,16,105,1,4,7
G,5,226,B,95,32,105,1,8,7,T,66,33,106,2,9,0
G,5,227,B,94,31,105,2,8,7,T,67,34,106,1,9,0
G,5,228,B,91,30,106,1,8,6,T,70,35,105,2,9,1
G,5,229,B,90,29,106,2,8,6,T,71,36,105,1,9,1
G,5,230,B,87,28,105,1,7,5,T,74,37,106,2,10,2
G,5,231,B,86,27,105,2,7,5,T,75,38,106,1,10,2
G,5,232,B,83,26,106,1,7,4,T,78,39,105,2,10,3
G,5,233,B,82,25,106,2,7,4,T,79,40,105,1,10,3
G,5,234,B,79,8,105,1,2,3,T,82,57,106,2,15,4
G,5,235,B,78,7,105,2,2,3,T,83,58,106,1,15,4
G,5,236,B,75,6,106,1,2,2,T,86,59,105,2,15,5
G,5,237,B,74,5,106,2,2,2,T,87,60,105,1,15,5
G,5,238,B,71,4,105,1,1,1,T,90,61,106,2,16,6
G,5,239,B,70,3,105,2,1,1,T,91,62,106,1,16,6
G,5,240,B,67,2,106,1,1,0,T,94,63,105,2,16,7
G,5,241,B,68,1,106,2,1,0,T,95,64,105,1,16,7
G,6,242,T,95,64,105,1,16,7,B,66,1,106,2,1,0
G,6,243,T,94,63,105,2,16,7,B,67,2,106,1,1,0
G,6,244,T,91,62,106,1,16,6,B,70,3,105,2,1,1
G,6,245,T,90,61,106,2,16,6,B,71,4,105,1,1,1
G,6,246,T,87,60,105,1,15,5,B,74,5,106,2,2,2
