,,,Installation Bottom,,,,,,,Installation Top,,,,,,
Layer,Headboard,Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan
U,4,257,T,66,1,106,2,1,0,B,95,64,105,1,16,7
U,4,258,T,67,2,106,1,1,0,B,94,63,105,2,16,6
U,4,259,T,70,3,105,2,1,1,B,91,62,106,1,16,6
U,4,260,T,71,4,105,1,1,1,B,90,61,106,2,16,6
U,4,261,T,74,5,106,2,2,2,B,87,60,105,1,15,5
U,4,262,T,75,6,106,1,2,2,B,86,59,105,2,15,5
U,4,263,T,78,7,105,2,2,3,B,83,58,106,1,15,4
U,4,264,T,79,8,105,1,2,3,B,82,57,106,2,15,4
U,4,265,T,82,25,106,2,7,4,B,79,40,105,1,10,3
U,4,266,T,83,26,106,1,7,4,B,78,39,105,2,10,3
U,4,267,T,86,27,105,2,7,5,B,75,38,106,1,10,2
U,4,268,T,87,28,105,1,7,5,B,74,37,106,2,10,2
U,4,269,T,90,29,106,2,8,6,B,71,36,105,1,9,1
U,4,270,T,91,30,106,1,8,6,B,70,35,105,2,9,1
U,4,271,T,94,31,105,2,8,7,B,67,34,106,1,9,0
U,4,272,T,95,32,105,1,8,7,B,66,33,106,2,9,0
U,4,273,T,66,49,106,2,13,0,B,95,16,105,1,4,7
U,4,274,T,67,50,106,1,13,0,B,94,15,105,2,4,7
U,4,275,T,70,51,105,2,13,1,B,91,14,106,1,4,6
U,4,276,T,71,52,105,1,13,1,B,90,13,106,2,4,6
U,4,277,T,74,53,106,2,14,2,B,87,12,105,1,3,5
U,4,278,T,75,54,106,1,14,2,B,86,11,105,2,3,5
U,4,279,T,78,55,105,2,14,3,B,83,10,106,1,3,4
U,4,280,T,79,56,105,1,14,3,B,82,9,106,2,3,4
U,3,281,B,66,17,106,2,5,0,T,95,48,105,1,12,7
U,3,282,B,67,18,106,1,5,0,T,94,47,105,2,12,7
U,3,283,B,70,19,105,2,5,1,T,91,46,106,1,12,6
U,3,284,B,71,20,105,1,5,1,T,90,45,106,2,12,6
U,3,285,B,74,21,106,2,6,2,T,87,44,105,1,11,5
U,3,286,B,75,22,106,1,6,2,T,86,43,105,2,11,5
U,3,287,B,78,23,105,2,6,3,T,83,42,106,1,11,4
U,3,288,B,79,24,105,1,6,3,T,82,41,106,2,11,4
U,3,289,B,82,41,106,2,11,4,T,79,24,105,1,6,3
U,3,290,B,83,42,106,1,11,4,T,78,23,105,2,6,3
U,3,291,B,86,43,105,2,11,5,T,75,22,106,1,6,2
U,3,292,B,87,44,105,1,11,5,T,74,21,106,2,6,2
U,3,293,B,90,45,106,2,12,6,T,71,20,105,1,5,1
U,3,294,B,91,46,106,1,12,6,T,70,19,105,2,5,1
U,3,295,B,94,47,105,2,12,7,T,67,18,106,1,5,0
U,3,296,B,95,48,105,1,12,7,T,66,17,106,2,5,0
U,3,297,T,66,1,106,2,1,0,B,95,64,105,1,16,7
U,3,298,T,67,2,106,1,1,0,B,94,63,105,2,16,6
U,3,299,T,70,3,105,2,1,1,B,91,62,106,1,16,6
U,3,300,T,71,4,105,1,1,1,B,90,61,106,2,16,6
U,3,301,T,74,5,106,2,2,2,B,87,60,105,1,15,5
U,3,302,T,75,6,106,1,2,2,B,86,59,105,2,15,5
U,3,303,T,78,7,105,2,2,3,B,83,58,106,1,15,4
U,3,304,T,79,8,105,1,2,3,B,82,57,106,2,15,4
U,3,305,T,82,25,106,2,7,4,B,79,40,105,1,10,3
U,3,306,T,83,26,106,1,7,4,B,78,39,105,2,10,3
U,3,307,T,86,27,105,2,7,5,B,75,38,106,1,10,2
U,3,308,T,87,28,105,1,7,5,B,74,37,106,2,10,2
U,3,309,T,90,29,106,2,8,6,B,71,36,105,1,9,1
U,3,310,T,91,30,106,1,8,6,B,70,35,105,2,9,1
U,3,311,T,94,31,105,2,8,7,B,67,34,106,1,9,0
U,3,312,T,95,32,105,1,8,7,B,66,33,106,2,9,0
U,3,313,T,66,49,106,2,13,0,B,95,16,105,1,4,7
U,3,314,T,67,50,106,1,13,0,B,94,15,105,2,4,7
U,3,315,T,70,51,105,2,13,1,B,91,14,106,1,4,6
U,3,316,T,71,52,105,1,13,1,B,90,13,106,2,4,6
U,3,317,T,74,53,106,2,14,2,B,87,12,105,1,3,5
U,3,318,T,75,54,106,1,14,2,B,86,11,105,2,3,5
U,3,319,T,78,55,105,2,14,3,B,83,10,106,1,3,4
U,3,320,T,79,56,105,1,14,3,B,82,9,106,2,3,4
U,2,321,B,66,17,106,2,5,0,T,95,48,105,1,12,7
U,2,322,B,67,18,106,1,5,0,T,94,47,105,2,12,7
U,2,323,B,70,19,105,2,5,1,T,91,46,106,1,12,6
U,2,324,B,71,20,105,1,5,1,T,90,45,106,2,12,6
U,2,325,B,74,21,106,2,6,2,T,87,44,105,1,11,5
U,2,326,B,75,22,106,1,6,2,T,86,43,105,2,11,5
U,2,327,B,78,23,105,2,6,3,T,83,42,106,1,11,4
U,2,328,B,79,24,105,1,6,3,T,82,41,106,2,11,4
U,2,329,B,82,41,106,2,11,4,T,79,24,105,1,6,3
U,2,330,B,83,42,106,1,11,4,T,78,23,105,2,6,3
U,2,331,B,86,43,105,2,11,5,T,75,22,106,1,6,2
U,2,332,B,87,44,105,1,11,5,T,74,21,106,2,6,2
U,2,333,B,90,45,106,2,12,6,T,71,20,105,1,5,1
U,2,334,B,91,46,106,1,12,6,T,70,19,105,2,5,1
U,2,335,B,94,47,105,2,12,7,T,67,18,106,1,5,0
U,2,336,B,95,48,105,1,12,7,T,66,17,106,2,5,0
U,2,337,T,66,1,106,2,1,0,B,95,64,105,1,16,7
U,2,338,T,67,2,106,1,1,0,B,94,63,105,2,16,6
U,2,339,T,70,3,105,2,1,1,B,91,62,106,1,16,6
U,2,340,T,71,4,105,1,1,1,B,90,61,106,2,16,6
U,2,341,T,74,5,106,2,2,2,B,87,60,105,1,15,5
U,2,342,T,75,6,106,1,2,2,B,86,59,105,2,15,5
U,2,343,T,78,7,105,2,2,3,B,83,58,106,1,15,4
U,2,344,T,79,8,105,1,2,3,B,82,57,106,2,15,4
U,2,345,T,82,25,106,2,7,4,B,79,40,105,1,10,3
U,2,346,T,83,26,106,1,7,4,B,78,39,105,2,10,3
U,2,347,T,86,27,105,2,7,5,B,75,38,106,1,10,2
U,2,348,T,87,28,105,1,7,5,B,74,37,106,2,10,2
U,2,349,T,90,29,106,2,8,6,B,71,36,105,1,9,1
U,2,350,T,91,30,106,1,8,6,B,70,35,105,2,9,1
U,2,351,T,94,31,105,2,8,7,B,67,34,106,1,9,0
U,2,352,T,95,32,105,1,8,7,B,66,33,106,2,9,0
U,2,353,T,66,49,106,2,13,0,B,95,16,105,1,4,7
U,2,354,T,67,50,106,1,13,0,B,94,15,105,2,4,7
U,2,355,T,70,51,105,2,13,1,B,91,14,106,1,4,6
U,2,356,T,71,52,105,1,13,1,B,90,13,106,2,4,6
U,2,357,T,74,53,106,2,14,2,B,87,12,105,1,3,5
U,2,358,T,75,54,106,1,14,2,B,86,11,105,2,3,5
U,2,359,T,78,55,105,2,14,3,B,83,10,106,1,3,4
U,2,360,T,79,56,105,1,14,3,B,82,9,106,2,3,4
U,1,361,B,66,17,106,2,5,0,T,95,48,105,1,12,7
U,1,362,B,67,18,106,1,5,0,T,94,47,105,2,12,7
U,1,363,B,70,19,105,2,5,1,T,91,46,106,1,12,6
U,1,364,B,71,20,105,1,5,1,T,90,45,106,2,12,6
U,1,365,B,74,21,106,2,6,2,T,87,44,105,1,11,5
U,1,366,B,75,22,106,1,6,2,T,86,43,105,2,11,5
U,1,367,B,78,23,105,2,6,3,T,83,42,106,1,11,4
U,1,368,B,79,24,105,1,6,3,T,82,41,106,2,11,4
U,1,369,B,82,41,106,2,11,4,T,79,24,105,1,6,3
U,1,370,B,83,42,106,1,11,4,T,78,23,105,2,6,3
U,1,371,B,86,43,105,2,11,5,T,75,22,106,1,6,2
U,1,372,B,87,44,105,1,11,5,T,74,21,106,2,6,2
U,1,373,B,90,45,106,2,12,6,T,71,20,105,1,5,1
U,1,374,B,91,46,106,1,12,6,T,70,19,105,2,5,1
U,1,375,B,94,47,105,2,12,7,T,67,18,106,1,5,0
U,1,376,B,95,48,105,1,12,7,T,66,17,106,2,5,0
U,1,377,T,66,1,106,2,1,0,B,95,64,105,1,16,7
U,1,378,T,67,2,106,1,1,0,B,94,63,105,2,16,6
U,1,379,T,70,3,105,2,1,1,B,91,62,106,1,16,6
U,1,380,T,71,4,105,1,1,1,B,90,61,106,2,16,6
U,1,381,T,74,5,106,2,2,2,B,87,60,105,1,15,5
U,1,382,T,75,6,106,1,2,2,B,86,59,105,2,15,5
U,1,383,T,78,7,105,2,2,3,B,83,58,106,1,15,4
U,1,384,T,79,8,105,1,2,3,B,82,57,106,2,15,4
U,1,385,T,82,25,106,2,7,4,B,79,40,105,1,10,3
